1st,2nd,3rd,pitch,pitch_con,tone,sort,duration,1st_norm,2nd_norm,3rd_norm,pitch,pitch_con,slope,height,strength,duration,tone,pitch_con,numPoints,previous_tone,this_tone,tone,sort
-23.72555341,63.02969444,-36.07821162,232.9111645,meng_2_165,2,165,136.36363,-60.16057967,117.2039663,-49.197559,232.9111645,meng_2_165,7,-1.440671582,50,145.3579241,2,meng_2_165,11,empty,2,2,165
16.30145167,-11.17478034,-15.31070612,243.1887793,meng_2_166,2,166,122.72727,30.13349473,-16.83143493,-18.79041164,243.1887793,meng_2_166,42,-1.728466061,41,128.7862855,2,meng_2_166,10,2,2,2,166
-184.4767782,268.489074,-108.3097718,265.9195112,meng_2_168,2,168,95.45455,-160.447003,244.6357291,-103.3866053,265.9195112,meng_2_168,-10,-0.724896886,70,98.82698353,2,meng_2_168,8,empty,2,2,168
-29.51158281,69.45197056,-85.22730894,265.1726486,meng_3_170,3,170,81.81818,-16.16374338,46.49263938,-69.73143304,265.1726486,meng_3_170,62,-5.316921172,38,86.56736902,3,meng_3_170,7,2,3,3,170
-25.40701705,22.42545834,-11.75798963,249.3243713,meng_4_173,4,173,95.45454,-22.09751545,20.43311157,-11.22353492,249.3243713,meng_4_173,-13,-0.913945553,52,98.88019244,4,meng_4_173,8,5,4,4,173
-51.34372118,67.89561051,-35.68415263,280.0316656,meng_1_175,1,175,95.45455,-44.65573533,61.86356836,-34.06214731,280.0316656,meng_1_175,-37,-0.295209729,80,109.1140724,1,meng_1_175,8,empty,1,1,175
-2.316400086,5.933285638,-18.69786223,260.0146023,meng_4_176,4,176,218.18181,-24.05853582,28.24439894,-40.79533425,260.0146023,meng_4_176,-14,-2.436324286,30,228.8370168,4,meng_4_176,17,1,4,4,176
-68.2549264,116.432323,-87.44611927,266.1852059,meng_4_178,4,178,81.81818,-37.38380017,77.94229537,-71.54682326,266.1852059,meng_4_178,-20,-1.985514077,73,86.15040131,4,meng_4_178,7,empty,4,4,178
-34.83628081,61.08938337,-13.68465234,235.3369215,meng_1_179,1,179,109.09091,-45.22696825,72.70141613,-14.92871176,235.3369215,meng_1_179,9,-0.675679686,60,116.0171516,1,meng_1_179,9,4,1,1,179
41.51781745,-61.09227572,28.18709479,261.0941752,meng_2_181,2,181,109.09091,53.90142024,-72.70485826,30.74955821,261.0941752,meng_2_181,-11,0.046060429,70,114.5515927,2,meng_2_181,9,1,2,2,181
11.86210977,-38.88926721,22.07298586,246.4244507,meng_3_183,3,183,163.63636,51.97582238,-104.1332398,36.1194306,246.4244507,meng_3_183,12,-2.318993051,31,176,3,meng_3_183,13,empty,3,3,183
-14.70897618,-7.284832999,-2.802058912,273.2105141,meng_4_185,4,185,109.09091,-19.09625204,-8.669553465,-3.056791565,273.2105141,meng_4_185,-59,-1.843594526,80,112.4991097,4,meng_4_185,9,empty,4,4,185
-22.12783112,47.55556102,-58.51579776,258.6256092,meng_3_187,3,187,122.72727,-40.90365053,71.62810422,-71.8148411,258.6256092,meng_3_187,-40,-3.974768521,80,133.6820118,3,meng_3_187,10,4,3,3,187
-24.22546164,53.60373824,-39.35011475,266.416586,meng_1_191,1,191,122.72727,-44.78115417,80.73785835,-48.29332158,266.416586,meng_1_191,-12,-0.643308038,80,134.5059155,1,meng_1_191,10,5,1,1,191
-16.73180419,24.0927815,-9.551519561,253.8141726,meng_4_192,4,192,136.36363,-42.42662002,44.80062257,-13.02479879,253.8141726,meng_4_192,-15,-1.273012985,50,140.4633956,4,meng_4_192,11,1,4,4,192
-7.652007154,22.79897937,-36.6258046,243.3881314,meng_3_193,3,193,136.36364,-19.40310008,42.39479861,-49.94428033,243.3881314,meng_3_193,-7,-3.333358246,50,138.5898849,3,meng_3_193,11,4,3,3,193
-31.97584242,84.67893549,-50.90850023,235.4493091,meng_2_198,2,198,150,-107.9184682,190.5276048,-76.36275035,235.4493091,meng_2_198,8,-0.845929555,50,151.145437,2,meng_2_198,12,empty,2,2,198
-33.34192247,101.5525918,-98.92245478,254.333681,meng_3_202,3,202,163.63636,-146.0932223,271.9259362,-161.8731042,254.333681,meng_3_202,17,-1.961256446,60,173.7466239,3,meng_3_202,13,empty,3,3,202
21.86402387,-62.71891151,14.44985643,253.343362,meng_4_204,4,204,109.09091,28.38545018,-74.64068932,15.76347988,253.343362,meng_4_204,-21,-1.976580229,80,115.0331513,4,meng_4_204,9,3,4,4,204
-220.4297044,280.8312578,-120.9802136,256.1381472,meng_3_206,3,206,68.18181,-69.86757931,130.5516897,-82.48649935,256.1381472,meng_3_206,-24,-2.029696085,80,90.18266807,3,meng_3_206,6,4,3,3,206
-14.9085371,37.27124908,-31.23971952,262.8131625,meng_1_209,1,209,163.63636,-65.32425439,99.80069557,-51.1195399,262.8131625,meng_1_209,-14,-1.261477093,60,185.0472173,1,meng_1_209,13,5,1,1,209
6.542372609,-2.836699269,-5.67534804,244.6054231,meng_3_210,3,210,136.36364,16.58941347,-5.274854294,-7.739111169,244.6054231,meng_3_210,4,-1.06952338,36,141.2574178,3,meng_3_210,11,1,3,3,210
5.838574164,-9.727490859,-19.51961162,241.6489773,meng_3_213,3,213,136.36364,14.80480044,-18.08831041,-26.61765291,241.6489773,meng_3_213,21,-3.284127866,41,136.9254374,3,meng_3_213,11,5,3,3,213
-2.936104243,4.383849341,-2.664319775,253.2112182,meng_1_215,1,215,150,-9.90935182,9.863661016,-3.996479663,253.2112182,meng_1_215,-13,-1.184211765,80,150.8330549,1,meng_1_215,12,empty,1,1,215
34.20079141,-84.91927018,36.71282457,240.9090958,meng_3_217,3,217,95.45454,29.74581846,-77.37478072,35.04405782,240.9090958,meng_3_217,59,-5.631179303,25,117.2436567,3,meng_3_217,8,empty,3,3,217
11.39377929,-47.59686278,16.14061964,245.2001168,meng_4_219,4,219,109.09091,14.79222472,-56.64420127,17.60794885,245.2001168,meng_4_219,-33,-2.98773056,80,116.7338336,4,meng_4_219,9,3,4,4,219
-40.83737687,99.13911384,-88.7040714,256.2008008,meng_3_221,3,221,136.36364,-103.5508324,184.3496017,-120.9601006,256.2008008,meng_3_221,-15,-3.152710681,80,150.3315753,3,meng_3_221,11,4,3,3,221
27.55509883,-35.72732096,15.63376307,229.5080917,meng_2_223,2,223,109.09091,35.77401349,-42.51846532,17.0550144,229.5080917,meng_2_223,5,-1.698827255,60,121.8741591,2,meng_2_223,9,5,2,2,223
-1.568353734,1.759663392,10.18795738,239.4414821,meng_1_224,1,224,177.27273,-8.737150586,5.529851448,18.06047018,239.4414821,meng_1_224,11,0.262199119,16,178.8365609,1,meng_1_224,14,2,1,1,224
-86.34219507,151.3382406,-133.7236053,288.6060625,meng_4_228,4,228,95.45455,-75.09534023,137.8929142,-127.6452656,288.6060625,meng_4_228,-12,-2.611873123,58,110.7980893,4,meng_4_228,8,empty,4,4,228
-158.1520492,297.804944,-171.864907,278.9981729,meng_2_233,2,233,109.09091,-205.3243786,354.4125013,-187.488991,278.9981729,meng_2_233,-13,-1.312328424,50,114.5696441,2,meng_2_233,9,empty,2,2,233
-1.026018433,-6.781208186,-18.51678391,250.667213,meng_3_236,3,236,95.45455,-0.892370216,-6.178746064,-17.67511275,250.667213,meng_3_236,-34,-3.017318119,60,103.4127961,3,meng_3_236,8,2,3,3,236
-38.16730814,44.92152423,-12.84500859,235.3807982,meng_4_239,4,239,95.45455,-33.19566972,40.93056627,-12.26114515,235.3807982,meng_4_239,-8,-1.981752964,70,104.5304891,4,meng_4_239,8,5,4,4,239
89.76280735,-151.6393284,79.87690081,232.2786875,meng_1_241,1,241,95.45454,78.07036217,-138.1672235,76.24612824,232.2786875,meng_1_241,-12,-1.280789205,70,103.1426795,1,meng_1_241,8,4,1,1,241
-52.63210718,53.44330578,-11.34492457,241.5792617,meng_2_243,2,243,68.18182,-16.68232306,24.84451331,-7.735176051,241.5792617,meng_2_243,0,10.77636595,13,71.70288551,2,meng_2_243,6,1,2,2,243
17.94909579,-43.76518184,10.15202971,250.5559184,meng_4_245,4,245,136.36364,45.51330064,-81.38154083,13.84367724,250.5559184,meng_4_245,-2,-2.213549976,48,146.9124626,4,meng_4_245,11,2,4,4,245
197.6494326,-168.4189285,56.87087965,234.1708887,meng_2_247,2,247,40.90909,13.53178313,-28.18581117,23.26535934,234.1708887,meng_2_247,-100,2.488951978,50,51.64885971,2,meng_2_247,4,4,2,2,247
3.430117543,-19.56752714,17.20919238,246.5521817,meng_4_248,4,248,204.54545,29.35475585,-81.8682659,35.20061999,246.5521817,meng_4_248,-40,-2.738842747,27,209.4347924,4,meng_4_248,16,2,4,4,248
-70.91388843,180.6297991,-125.7997363,250.4767615,meng_2_252,2,252,136.36364,-179.8154715,335.8818758,-171.5450996,250.4767615,meng_2_252,-35,-3.337372106,80,163.399373,2,meng_2_252,11,5r,2,2,252
17.09093443,2.330581347,0.317806463,118.7814325,meng_3_254,3,254,13.63636,0.043337233,0.043337233,0.043337233,118.7814325,meng_3_254,-53,1.841698889,70,29.66405773,3,meng_3_254,2,empty,3,3,254
-92.61823877,238.2361313,-202.301971,289.1822788,meng_3_256,3,256,136.36364,-234.8509248,443.0010942,-275.8663314,289.1822788,meng_3_256,99,-10.40122515,18,145.8264536,3,meng_3_256,11,empty,3,3,256
-24.9347148,41.8793889,-22.73269878,249.3590162,meng_4_258,4,258,150,-84.15466245,94.22862502,-34.09904816,249.3590162,meng_4_258,-16,-2.472623109,70,193.0782536,4,meng_4_258,12,3,4,4,258
-15.85876569,27.07858237,-28.32353688,235.3819532,meng_3_261,3,261,109.09091,-20.58899158,32.22575146,-30.89840413,235.3819532,meng_3_261,-17,-3.370262662,60,118.977683,3,meng_3_261,9,empty,3,3,261
13.11608179,-44.01879694,33.82814425,236.9789122,meng_4_267,4,267,204.54546,112.2467176,-184.1695631,69.19393327,236.9789122,meng_4_267,-8,-2.393910941,80,216.6686112,4,meng_4_267,16,empty,4,4,267
-2.391870668,14.85626302,-25.95211288,266.8823845,meng_1_269,1,269,177.27273,-13.32488568,46.68672883,-46.00601899,266.8823845,meng_1_269,-1,-0.516994508,80,196.0854574,1,meng_1_269,14,empty,1,1,269
-6.563630591,20.56905431,-17.82661153,260.6302302,meng_1_275,1,275,177.27272,-36.56536017,64.63952281,-31.60171914,260.6302302,meng_1_275,-22,-1.619352487,39,177.4724289,1,meng_1_275,14,empty,1,1,275
-35.70460976,43.07980887,-38.61129865,241.5564891,meng_4_279,4,279,81.81818,-19.55571659,28.83854846,-31.59106183,241.5564891,meng_4_279,-20,-3.270896619,75,95.3368284,4,meng_4_279,7,empty,4,4,279
-10.89070481,33.85871966,-25.08961283,215.8208831,meng_3_280,3,280,136.36363,-27.61541969,62.96042324,-34.21310681,215.8208831,meng_3_280,64,-5.179714072,14,145.4951403,3,meng_3_280,11,4,3,3,280
-134.7295629,180.1300352,-58.41305844,246.5227468,meng_4_282,4,282,109.09091,-174.9156202,214.3696322,-63.72333701,246.5227468,meng_4_282,-18,-2.42962069,70,145.7761466,4,meng_4_282,9,3,4,4,282
14.1129399,-8.026924445,-30.14538398,244.9210535,meng_3_285,3,285,122.72727,26.08799564,-12.09013979,-36.99660679,244.9210535,meng_3_285,-10,-2.838571158,50,132.9270107,3,meng_3_285,10,empty,3,3,285
8.349636893,-46.81143136,65.5312775,224.3826017,meng_4_287,4,287,300,225.4401961,-421.3028823,196.5938325,224.3826017,meng_4_287,-24,-3.854394124,30,305.6376697,4,meng_4_287,23,5,4,4,287
