1st,2nd,3rd,4th,speaker,syl,tone,prev,pitch_con
4.7592035873596195e-05,-0.0021162679811973224,0.0055286735566023315,0.23826308672107588,s3,2,3,1,_LHAC3_s3_2
-1.4213957134037176e-05,0.00044219960625364505,0.0016846266330426498,-0.06303119267286197,s1,1,1,none,_LLAB5_s1_1
-5.10588173166951e-06,0.0006541709982619475,-0.01579740148683081,0.07548747267466156,s1,2,2,1,_LLAB5_s1_2
-1.5735870995877962e-05,0.0006555837318927667,-0.0005715017527362345,-0.08434357213133516,s2,2,1,2,_HHBA4_s2_2
1.198322518176799e-05,0.00014282576930653537,-0.019020053454233018,0.1634278114165759,s2,1,2,none,_HHBA4_s2_1
2.0017794888742046e-05,-0.0004081151728753342,-0.000695227378503324,-0.004877933642597145,s2,1,2,none,_LHBD2_s2_1
3.607946512506667e-05,-0.0024604712685480875,0.04179634109434801,-0.1324275037139059,s2,2,4,2,_LHBD2_s2_2
-3.3886844398271775e-06,0.0006423073598032989,-0.013106288520718008,0.02513754560651042,s2,1,2,none,_LLBA2_s2_1
-9.049006851181993e-06,0.00016649707557228168,0.007780987393528938,-0.1078589160376685,s2,2,1,2,_LLBA2_s2_2
-6.16975938053888e-06,9.535198762727962e-05,0.012178541168308767,-0.17435061547408298,s3,2,1,3,_HHCA2_s3_2
3.001402166310458e-05,-0.0013327342572842153,0.003294835164776511,0.1526374072298802,s3,1,3,none,_HHCA2_s3_1
-4.2611749780487414e-07,-0.00037306557165392006,0.0059398636068672605,0.02858118862524673,s3,2,4,1,_HLAD4_s3_2
1.8520285496861197e-06,-0.00022733997383566162,0.007962653508125967,-0.0651196433939424,s3,1,1,none,_HLAD4_s3_1
2.4935788279527113e-05,-0.0007254850073070307,-0.010994360479480046,0.21933658487684857,s1,1,3,none,_HHCA2_s1_1
-1.5746308233085836e-05,0.0005626541233135163,0.003979256747747188,-0.12551678753109205,s1,2,1,3,_HHCA2_s1_2
-1.0979049831235045e-06,0.0004289404091494595,-0.020871590762237303,0.19623508803026965,s2,2,3,4,_LHDC4_s2_2
-1.1606060539110748e-05,0.0004231678940138203,0.00305575283766185,-0.09708190224480712,s1,1,1,none,_LLAD5_s1_1
2.0222355383774435e-05,-0.0001885257376928806,-0.01395954647387181,0.1300373722459985,s2,1,3,none,_HLCC2_s2_1
2.0193126335563543e-05,-0.0011723224665011554,0.01834965490655575,-0.060484645089573845,s2,2,1,1,_HLAA4_s2_2
7.010738091125611e-07,-0.0003803140281416423,0.016625153942965074,-0.14288057105916324,s2,1,1,none,_HLAA4_s2_1
6.466906058061793e-05,-0.002799501752952516,0.011899404264544758,0.23176661557028816,s2,2,3,3,_HLCC2_s2_2
-2.1594182291303905e-05,0.0008736905400438519,-0.006081184910515588,-0.025459700226256363,s1,1,1,none,_HHAC1_s1_1
5.282900407869346e-06,-0.0006404782634143972,0.007523092457360129,0.04717296157397079,s1,1,4,none,_HLDB2_s1_1
-1.4185412376125959e-05,0.00023661470529473286,0.0008162822200778583,0.015015917337664372,s3,1,4,none,_HLDB2_s3_1
-2.605232230521664e-06,0.0007390523410372317,-0.020456487302113722,0.10292810166734664,s3,2,2,4,_HLDB2_s3_2
3.648849819121306e-05,-0.0014826996967266558,-0.0034185773693436875,0.2572946195966769,s3,2,3,1,_HLAC2_s3_2
-2.748267494841216e-06,0.00026783342755810614,-0.008852949184481715,0.0726166817431382,s1,2,3,4,_HHDC2_s1_2
1.8961360236265558e-05,-0.001440937522713772,0.017315381720933536,0.049083055331270234,s1,1,4,none,_HHDC2_s1_1
