1st,2nd,3rd,4th,speaker,pitch_con,syl,tone,prevsyl
-9.848889264278909e-08,0.0003289107912057802,-0.011111057501788637,1.072931817900201,s2,_LLDB4_s2_2,2,2,4
-1.4763145725811454e-05,0.001196421841419236,-0.019682879078175446,1.1106474102382624,s2,_LLDB5_s2_2,2,2,4
7.43160215152045e-06,2.3639185914274622e-05,-0.017026434481118367,1.1116904160226733,s2,_LLDC1_s2_2,2,3,4
6.633445822040955e-06,9.082509836998845e-06,-0.016600884341104048,1.1235000403059867,s2,_LLDC2_s2_2,2,3,4
1.1395118300503954e-05,-0.00018712681894660053,-0.01515746491644248,1.130245400451412,s2,_LLDC3_s2_2,2,3,4
3.7092626853030322e-06,0.00027252359862366875,-0.023943370493002835,1.1737300645387048,s2,_LLDC4_s2_2,2,3,4
-1.0704932594165053e-05,0.0009588293238371402,-0.027594934736897905,1.1519212500524059,s2,_LLDC5_s2_2,2,3,4
4.24863299316362e-06,-0.00027780732999718375,0.0020978320372434162,1.1250330412788074,s2,_LLDD1_s2_2,2,4,4
7.628701142833781e-08,-0.0002532082937027546,0.00401094982657105,1.1694257469116958,s2,_LLDD2_s2_2,2,4,4
5.258842919552476e-06,-0.0004417089685379552,0.005785249165055164,1.1934923654561955,s2,_LLDD3_s2_2,2,4,4
1.3889543827037563e-05,-0.000738343315671197,0.0048806681395423745,1.1733910104440657,s2,_LLDD4_s2_2,2,4,4
9.434015588997988e-06,-0.0006840718751573194,0.008013716049743021,1.176146041171909,s2,_LLDD5_s2_2,2,4,4
1.029840996757252e-06,-0.00010481248275713348,0.002736402760751519,1.32486503726453,s3,_HHAA1_s3_2,2,1,1
3.726486440747157e-06,-0.00024899521863924127,0.00381888570318949,1.3302888004706888,s3,_HHAA2_s3_2,2,1,1
-1.8917238066825751e-06,0.0001301646755303135,-0.001817133035626184,1.3445338772298647,s3,_HHAA3_s3_2,2,1,1
6.679910015989676e-06,-0.00035467154126126094,0.005046850975954285,1.3206444629876153,s3,_HHAA4_s3_2,2,1,1
-2.882203490520194e-06,0.00013388880374789143,-0.0017136609845504833,1.337488831370356,s3,_HHAA5_s3_2,2,1,1
9.29511784232174e-06,0.00037119782047159076,-0.02788236189417692,1.3975133841191514,s3,_HHAB1_s3_2,2,2,1
2.416591449209364e-05,-0.0005712683010262713,-0.011760751318132283,1.371610407728828,s3,_HHAB2_s3_2,2,2,1
2.6822750553876985e-05,-0.0007689521672715628,-0.009553820686174384,1.3586305232394245,s3,_HHAB3_s3_2,2,2,1
2.616327781518369e-05,-0.0006711564780210628,-0.011492880915871704,1.3662198411255684,s3,_HHAB4_s3_2,2,2,1
1.660759435279483e-05,-5.721630144193856e-05,-0.022758707418406507,1.354679382602475,s3,_HHAB5_s3_2,2,2,1
6.958358265957541e-05,-0.002953029970289601,0.011233437280301076,1.3571270932173216,s3,_HHAC1_s3_2,2,3,1
5.078473651634548e-05,-0.00199479947864488,-0.0010945970185307506,1.3576462096097002,s3,_HHAC2_s3_2,2,3,1
5.6909883387268006e-05,-0.002280062329010742,0.003633885605828206,1.3529747551742504,s3,_HHAC3_s3_2,2,3,1
