time,pitch,pitch_con,duration,artist,role_type,shengqiang,tone,word
7,387.06903076171875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
8,387.2926940917969,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
9,387.5164794921875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
10,387.96441650390625,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
11,389.3113708496094,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
12,390.66302490234375,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
13,392.47247314453125,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
14,394.5181579589844,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
15,395.88787841796875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
16,397.0329284667969,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
17,398.411376953125,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
18,399.5637512207031,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
19,400.71942138671875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
20,402.8080749511719,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
21,403.7398681640625,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
22,403.7398681640625,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
23,403.27374267578125,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
24,402.8080749511719,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
25,402.57550048828125,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
26,403.5067138671875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
27,404.44012451171875,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
28,404.673828125,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
29,405.1416015625,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
30,405.84429931640625,1_6_28,0.6433468442407246,Chen Junjie,J,X,1,tian1
1,398.8719177246094,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
2,387.5164794921875,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
3,374.74853515625,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
4,368.7361145019531,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
5,383.2866516113281,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
6,393.8350830078125,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
7,394.5181579589844,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
8,392.6992492675781,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
9,388.86187744140625,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
10,377.3551940917969,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
11,372.5900573730469,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
12,381.9605712890625,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
13,397.0329284667969,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
14,400.488037109375,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
15,396.1166076660156,5_6_29,1.9768618027133158,Chen Junjie,J,X,5,zi5
