"Syllable1","Syllable2","time","f0_norm_bk","speaker","pitch_con","syl","tone","prev"
"1","1",18,0.000810264326816856,"s3","_HHAA3_s3_1","1","1","none"
"1","1",19,-0.000150918730429384,"s3","_HHAA3_s3_1","1","1","none"
"1","1",20,-0.00125090326029942,"s3","_HHAA3_s3_1","1","1","none"
"1","1",21,-0.0022617049325051,"s3","_HHAA3_s3_1","1","1","none"
"1","1",22,-0.00312455323812055,"s3","_HHAA3_s3_1","1","1","none"
"1","1",23,-0.00373015844675484,"s3","_HHAA3_s3_1","1","1","none"
"1","1",24,-0.00422497243366871,"s3","_HHAA3_s3_1","1","1","none"
"1","1",25,-0.0045435124543951,"s3","_HHAA3_s3_1","1","1","none"
"1","1",26,-0.00485756267554582,"s3","_HHAA3_s3_1","1","1","none"
"1","1",27,-0.0051665541387087,"s3","_HHAA3_s3_1","1","1","none"
"1","1",28,-0.00567353417336869,"s3","_HHAA3_s3_1","1","1","none"
"1","1",29,-0.00628185533903913,"s3","_HHAA3_s3_1","1","1","none"
"1","1",30,-0.00713960284496618,"s3","_HHAA3_s3_1","1","1","none"
"1","1",1,-0.0066715848117247,"s1","_HHAA4_s1_1","1","1","none"
"1","1",2,-0.00657820323740799,"s1","_HHAA4_s1_1","1","1","none"
"1","1",3,-0.0062788223716983,"s1","_HHAA4_s1_1","1","1","none"
"1","1",4,-0.00572768320351047,"s1","_HHAA4_s1_1","1","1","none"
"1","1",5,-0.00535094644169609,"s1","_HHAA4_s1_1","1","1","none"
"1","1",6,-0.00475374627841285,"s1","_HHAA4_s1_1","1","1","none"
"1","1",7,-0.00371122652162459,"s1","_HHAA4_s1_1","1","1","none"
"1","1",8,-0.00223903417501448,"s1","_HHAA4_s1_1","1","1","none"
"1","1",9,-0.000644197544602321,"s1","_HHAA4_s1_1","1","1","none"
"1","1",10,0.000996496942753833,"s1","_HHAA4_s1_1","1","1","none"
"1","1",11,0.0026347970806897,"s1","_HHAA4_s1_1","1","1","none"
"1","1",12,0.00423213367409003,"s1","_HHAA4_s1_1","1","1","none"
"1","1",13,0.00560348436974945,"s1","_HHAA4_s1_1","1","1","none"
"1","1",14,0.00651201515931699,"s1","_HHAA4_s1_1","1","1","none"
"1","1",15,0.007078891978614,"s1","_HHAA4_s1_1","1","1","none"
"1","1",16,0.00701545876319498,"s1","_HHAA4_s1_1","1","1","none"
"1","1",17,0.00661954612931681,"s1","_HHAA4_s1_1","1","1","none"
"1","1",18,0.0058913175775317,"s1","_HHAA4_s1_1","1","1","none"
"1","1",19,0.00475170687005022,"s1","_HHAA4_s1_1","1","1","none"
"1","1",20,0.00358782408995584,"s1","_HHAA4_s1_1","1","1","none"
"1","1",21,0.00241993093988135,"s1","_HHAA4_s1_1","1","1","none"
"1","1",22,0.00143889497941885,"s1","_HHAA4_s1_1","1","1","none"
"1","1",23,0.000539987939372377,"s1","_HHAA4_s1_1","1","1","none"
"1","1",24,-0.000244201166085256,"s1","_HHAA4_s1_1","1","1","none"
"1","1",25,-0.00097351195294948,"s1","_HHAA4_s1_1","1","1","none"
"1","1",26,-0.00168915129638281,"s1","_HHAA4_s1_1","1","1","none"
"1","1",27,-0.00242316111764551,"s1","_HHAA4_s1_1","1","1","none"
"1","1",28,-0.00322213378887359,"s1","_HHAA4_s1_1","1","1","none"
"1","1",29,-0.00404510976138828,"s1","_HHAA4_s1_1","1","1","none"
"1","1",30,-0.00476977282492252,"s1","_HHAA4_s1_1","1","1","none"
"1","1",1,-0.146267270342612,"s2","_HHAA4_s2_1","1","1","none"
"1","1",2,-0.139582259694987,"s2","_HHAA4_s2_1","1","1","none"
"1","1",3,-0.132232903840636,"s2","_HHAA4_s2_1","1","1","none"
"1","1",4,-0.122934367081236,"s2","_HHAA4_s2_1","1","1","none"
"1","1",5,-0.115094815276703,"s2","_HHAA4_s2_1","1","1","none"
"1","1",6,-0.108663340868087,"s2","_HHAA4_s2_1","1","1","none"
"1","1",7,-0.0967022844963665,"s2","_HHAA4_s2_1","1","1","none"
"1","1",8,-0.0830133284183994,"s2","_HHAA4_s2_1","1","1","none"
"1","1",9,-0.0684462865088196,"s2","_HHAA4_s2_1","1","1","none"
"1","1",10,-0.0542688226012515,"s2","_HHAA4_s2_1","1","1","none"
"1","1",11,-0.0411237788272327,"s2","_HHAA4_s2_1","1","1","none"
"1","1",12,-0.0286750153083304,"s2","_HHAA4_s2_1","1","1","none"
"1","1",13,-0.0168530831249878,"s2","_HHAA4_s2_1","1","1","none"
"1","1",14,-0.00563673577801604,"s2","_HHAA4_s2_1","1","1","none"
"1","1",15,0.0053740302592522,"s2","_HHAA4_s2_1","1","1","none"
"1","1",16,0.0154777655732292,"s2","_HHAA4_s2_1","1","1","none"
"1","1",17,0.0257669657989712,"s2","_HHAA4_s2_1","1","1","none"
"1","1",18,0.0365162891337925,"s2","_HHAA4_s2_1","1","1","none"
"1","1",19,0.047316546480431,"s2","_HHAA4_s2_1","1","1","none"
"1","1",20,0.0581588987384798,"s2","_HHAA4_s2_1","1","1","none"
"1","1",21,0.0682590175386941,"s2","_HHAA4_s2_1","1","1","none"
"1","1",22,0.0780848508509913,"s2","_HHAA4_s2_1","1","1","none"
"1","1",23,0.0863854234075838,"s2","_HHAA4_s2_1","1","1","none"
"1","1",24,0.0938849268611368,"s2","_HHAA4_s2_1","1","1","none"
"1","1",25,0.0995771027551668,"s2","_HHAA4_s2_1","1","1","none"
"1","1",26,0.103887851736777,"s2","_HHAA4_s2_1","1","1","none"
"1","1",27,0.107118123941033,"s2","_HHAA4_s2_1","1","1","none"
"1","1",28,0.109319761866497,"s2","_HHAA4_s2_1","1","1","none"
"1","1",29,0.111277518793864,"s2","_HHAA4_s2_1","1","1","none"
"1","1",30,0.113089218431762,"s2","_HHAA4_s2_1","1","1","none"
"1","1",1,0.0107565644289505,"s3","_HHAA4_s3_1","1","1","none"
"1","1",2,0.00830888403884411,"s3","_HHAA4_s3_1","1","1","none"
"1","1",3,0.00686146114248309,"s3","_HHAA4_s3_1","1","1","none"
"1","1",4,0.00666481134997032,"s3","_HHAA4_s3_1","1","1","none"
"1","1",5,0.00664344699812069,"s3","_HHAA4_s3_1","1","1","none"
"1","1",6,0.00691831712986479,"s3","_HHAA4_s3_1","1","1","none"
"1","1",7,0.00774220152966332,"s3","_HHAA4_s3_1","1","1","none"
"1","1",8,0.00934845619651781,"s3","_HHAA4_s3_1","1","1","none"
"1","1",9,0.0110602277848457,"s3","_HHAA4_s3_1","1","1","none"
"1","1",10,0.0123574036394283,"s3","_HHAA4_s3_1","1","1","none"
"1","1",11,0.0128122932723138,"s3","_HHAA4_s3_1","1","1","none"
"1","1",12,0.0126688549069747,"s3","_HHAA4_s3_1","1","1","none"
"1","1",13,0.0111072279385995,"s3","_HHAA4_s3_1","1","1","none"
"1","1",14,0.00899284780348442,"s3","_HHAA4_s3_1","1","1","none"
"1","1",15,0.00643533504203964,"s3","_HHAA4_s3_1","1","1","none"
"1","1",16,0.00360514115238852,"s3","_HHAA4_s3_1","1","1","none"
"1","1",17,0.000748255004528131,"s3","_HHAA4_s3_1","1","1","none"
"1","1",18,-0.00214184833885311,"s3","_HHAA4_s3_1","1","1","none"
"1","1",19,-0.00457606076806916,"s3","_HHAA4_s3_1","1","1","none"
"1","1",20,-0.006841932321072,"s3","_HHAA4_s3_1","1","1","none"
