"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"2","4",28,-1.51697489666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",29,-1.03699459666667,"s1","_HLBD1_s1_1","1","2","none"
"2","4",30,-0.569459096666662,"s1","_HLBD1_s1_1","1","2","none"
"2","4",1,12.04252472,"s2","_HLBD1_s2_1","1","2","none"
"2","4",2,11.95631532,"s2","_HLBD1_s2_1","1","2","none"
"2","4",3,11.80730002,"s2","_HLBD1_s2_1","1","2","none"
"2","4",4,11.53510552,"s2","_HLBD1_s2_1","1","2","none"
"2","4",5,11.22613582,"s2","_HLBD1_s2_1","1","2","none"
"2","4",6,10.88985042,"s2","_HLBD1_s2_1","1","2","none"
"2","4",7,9.82612141999999,"s2","_HLBD1_s2_1","1","2","none"
"2","4",8,8.53387641999998,"s2","_HLBD1_s2_1","1","2","none"
"2","4",9,6.81868151999998,"s2","_HLBD1_s2_1","1","2","none"
"2","4",10,4.72390191999999,"s2","_HLBD1_s2_1","1","2","none"
"2","4",11,2.44932111999999,"s2","_HLBD1_s2_1","1","2","none"
"2","4",12,-0.124454679999999,"s2","_HLBD1_s2_1","1","2","none"
"2","4",13,-2.58739888000001,"s2","_HLBD1_s2_1","1","2","none"
"2","4",14,-4.85656758,"s2","_HLBD1_s2_1","1","2","none"
"2","4",15,-6.71542968,"s2","_HLBD1_s2_1","1","2","none"
"2","4",16,-8.37238698,"s2","_HLBD1_s2_1","1","2","none"
"2","4",17,-9.35966718,"s2","_HLBD1_s2_1","1","2","none"
"2","4",18,-10.11126048,"s2","_HLBD1_s2_1","1","2","none"
"2","4",19,-10.47326048,"s2","_HLBD1_s2_1","1","2","none"
"2","4",20,-10.47118698,"s2","_HLBD1_s2_1","1","2","none"
"2","4",21,-10.29488738,"s2","_HLBD1_s2_1","1","2","none"
"2","4",22,-9.59621138,"s2","_HLBD1_s2_1","1","2","none"
"2","4",23,-8.68019948,"s2","_HLBD1_s2_1","1","2","none"
"2","4",24,-7.42426528,"s2","_HLBD1_s2_1","1","2","none"
"2","4",25,-5.71751188,"s2","_HLBD1_s2_1","1","2","none"
"2","4",26,-3.82578778,"s2","_HLBD1_s2_1","1","2","none"
"2","4",27,-1.70140628,"s2","_HLBD1_s2_1","1","2","none"
"2","4",28,0.492399919999997,"s2","_HLBD1_s2_1","1","2","none"
"2","4",29,2.78901372,"s2","_HLBD1_s2_1","1","2","none"
"2","4",30,5.22133452,"s2","_HLBD1_s2_1","1","2","none"
"2","4",1,8.41052320999999,"s3","_HLBD1_s3_1","1","2","none"
"2","4",2,8.22670051,"s3","_HLBD1_s3_1","1","2","none"
"2","4",3,7.95133961000001,"s3","_HLBD1_s3_1","1","2","none"
"2","4",4,7.61126611,"s3","_HLBD1_s3_1","1","2","none"
"2","4",5,7.30729760999999,"s3","_HLBD1_s3_1","1","2","none"
"2","4",6,6.69958411,"s3","_HLBD1_s3_1","1","2","none"
"2","4",7,5.89770720999999,"s3","_HLBD1_s3_1","1","2","none"
"2","4",8,4.92096371,"s3","_HLBD1_s3_1","1","2","none"
"2","4",9,3.79735830999999,"s3","_HLBD1_s3_1","1","2","none"
"2","4",10,2.62714550999999,"s3","_HLBD1_s3_1","1","2","none"
"2","4",11,1.43175841,"s3","_HLBD1_s3_1","1","2","none"
"2","4",12,0.331213910000002,"s3","_HLBD1_s3_1","1","2","none"
"2","4",13,-0.694641590000003,"s3","_HLBD1_s3_1","1","2","none"
"2","4",14,-1.63753449000001,"s3","_HLBD1_s3_1","1","2","none"
"2","4",15,-2.39183159,"s3","_HLBD1_s3_1","1","2","none"
"2","4",16,-3.04106779,"s3","_HLBD1_s3_1","1","2","none"
"2","4",17,-3.61763429,"s3","_HLBD1_s3_1","1","2","none"
"2","4",18,-4.13082729,"s3","_HLBD1_s3_1","1","2","none"
"2","4",19,-4.51828049,"s3","_HLBD1_s3_1","1","2","none"
"2","4",20,-4.81651939,"s3","_HLBD1_s3_1","1","2","none"
"2","4",21,-5.01394239,"s3","_HLBD1_s3_1","1","2","none"
"2","4",22,-5.05526039,"s3","_HLBD1_s3_1","1","2","none"
"2","4",23,-4.99628599,"s3","_HLBD1_s3_1","1","2","none"
"2","4",24,-4.83770279000001,"s3","_HLBD1_s3_1","1","2","none"
"2","4",25,-4.53449169,"s3","_HLBD1_s3_1","1","2","none"
"2","4",26,-4.17351849000001,"s3","_HLBD1_s3_1","1","2","none"
"2","4",27,-3.75881229000001,"s3","_HLBD1_s3_1","1","2","none"
