"","Syllable1","Syllable2","Normtime","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","speaker","pitch_con","syl","tone","prevsyl"
"1575","3","3","_LLCC5",113.8266953,114.4972111,115.167727,115.5361308,115.8911534,115.8687841,115.8114341,115.3240623,114.7739963,113.7516274,112.6327576,111.0143653,109.2615274,107.1907778,105.011508,102.6394316,100.1859388,97.69196062,95.1771901,92.77421457,90.4402619,88.2835975,86.25751177,85.18257252,84.93950959,84.41184762,83.5891911,82.53814202,81.20638304,80.41559,"s2","_LLCC5_s2_2","2","3","3"
"1576","3","4","_LLCD1",80.60073693,82.1262938,83.84540798,86.14128842,88.75134114,91.67239638,94.84511835,98.09983077,101.3141788,104.4194971,107.2085091,109.6863368,111.8623049,113.5235315,115.0143338,115.834688,116.5114573,116.7825364,116.7823178,116.5242169,115.8298832,114.9897866,113.4395954,111.7346956,109.6039369,108.6716977,108.8558191,107.8400549,106.4420963,103.9916337,"s2","_LLCD1_s2_2","2","4","3"
"1577","3","4","_LLCD2",76.56149807,77.17815393,78.01177889,79.13695034,80.84015735,82.84262047,85.35911102,88.29636856,91.44958425,94.87130049,98.23360399,101.5492315,104.4571567,107.0875086,109.331747,110.8902474,112.1311769,112.8579932,113.1600898,113.2117806,112.8046866,112.130218,111.2340801,109.7259595,108.0280543,106.0706351,105.8182173,105.5803455,104.3326652,102.4443147,"s2","_LLCD2_s2_2","2","4","3"
"1578","3","4","_LLCD3",77.97132355,78.8115594,79.89173421,81.45965094,83.55456651,85.9216177,88.87439248,91.95885453,95.31087488,98.5177646,101.6460441,104.1262054,106.379714,108.1564207,109.4024254,110.3471128,110.7720684,111.073426,111.1238199,110.9374701,110.6103071,109.9333853,109.0870321,107.8580872,107.5742892,107.87909,107.2124069,106.3358785,105.0538374,104.5479791,"s2","_LLCD3_s2_2","2","4","3"
"1579","3","4","_LLCD4",83.70705693,85.52675647,87.34645601,89.48305022,91.70289479,94.00357019,96.36184762,98.62678674,100.736724,102.7494684,104.2801806,105.8108929,106.787639,107.7411514,108.3234658,108.783165,109.0490376,109.1522063,109.1511522,108.9437606,108.703645,108.2396874,107.7757298,107.8649482,108.0025989,107.7979432,107.4544514,106.9551274,106.302073,105.8418942,"s2","_LLCD4_s2_2","2","4","3"
"1580","3","4","_LLCD5",77.83927004,78.7629844,79.85566596,81.41828733,83.3401272,85.58189587,88.26398446,91.07520194,94.12194854,97.10117619,99.93844118,102.4629995,104.7673422,106.478963,108.0039239,108.8939371,109.5614214,109.8660879,109.8226164,109.5872233,108.8451501,107.9465788,106.5440555,104.955745,103.129067,102.6445434,102.7284591,101.6143409,100.2787995,98.3438563,"s2","_LLCD5_s2_2","2","4","3"
"1581","4","1","_LLDA1",106.8533855,106.9664614,107.2023333,107.7371376,108.5065271,109.444159,110.5977356,111.7991618,113.0846902,114.3892214,115.716435,117.016744,118.310822,119.6773721,121.0416046,122.4011188,123.7005595,124.9632684,126.0841146,127.1089294,127.8104484,128.3293292,128.6611944,128.6919559,128.6554892,128.801701,128.851674,128.7360822,128.5558508,128.3421377,"s2","_LLDA1_s2_2","2","1","4"
"1582","4","1","_LLDA2",103.6147932,103.2596229,102.9801637,102.8215386,102.8224632,102.8996622,103.1327344,103.5466524,104.1141051,105.0880976,106.2294866,107.6694481,109.3382107,111.1155308,112.9922628,114.8897275,116.8108661,118.6147522,120.3491181,121.9254596,123.3329808,124.6344557,125.4637269,126.082324,126.3754384,126.6994192,126.9789849,126.9859964,126.9873126,126.9839419,"s2","_LLDA2_s2_2","2","1","4"
"1583","4","1","_LLDA3",107.3187092,107.7374283,108.1934942,108.9722662,109.8463857,111.08477,112.4079873,113.9189907,115.4598543,117.0428265,118.5902224,120.104598,121.4358606,122.6560109,123.6495712,124.5576495,125.2175633,125.8265791,126.1363476,126.413557,126.4000005,126.3491806,126.0713196,125.8904788,126.0090837,126.0025861,125.7621537,125.4271376,124.9775255,124.7778486,"s2","_LLDA3_s2_2","2","1","4"
"1584","4","1","_LLDA4",104.0350541,103.8047085,103.6531725,103.7156608,103.9400806,104.3034141,104.9755508,105.7572113,106.9716183,108.308797,109.8784072,111.598444,113.4127437,115.2506254,117.0704149,118.7729162,120.3775309,121.8481548,123.0666989,124.1726642,124.9218014,125.5762192,125.9620745,126.2015111,126.2937414,126.3759821,126.4514299,126.4284774,126.3907158,126.3193744,"s2","_LLDA4_s2_2","2","1","4"
"1585","4","1","_LLDA5",105.3112319,105.3801789,105.497657,105.780456,106.1971114,106.7748297,107.6033108,108.5493579,109.8390617,111.199068,112.7863659,114.4321506,116.1811818,117.9997679,119.8669766,121.6912347,123.4987586,125.1479533,126.7186323,128.076353,129.1786893,130.021846,130.445394,130.7083793,131.0235898,131.2783835,131.2397771,131.1554475,131.0036822,130.9476808,"s2","_LLDA5_s2_2","2","1","4"
"1586","4","2","_LLDB1",104.706229,102.8079142,101.0088367,99.44309032,98.09138718,96.88429619,95.96379281,95.12468766,94.4848844,93.95086254,93.52606919,93.23998517,93.00094818,92.86721587,92.77519122,92.74918214,92.82106148,92.93783618,93.35156455,93.89624469,94.76144466,95.96462972,97.41179876,99.31818402,100.9118535,100.7646267,101.242651,102.4091107,104.2143003,106.0607623,"s2","_LLDB1_s2_2","2","2","4"
"1587","4","2","_LLDB2",101.497146,100.2374293,99.01394075,97.9118329,96.88250595,95.93871275,95.10250048,94.31471559,93.67999504,93.07645764,92.57418331,92.12632131,91.76755099,91.49460697,91.27675936,91.18486653,91.13133364,91.2697358,91.47987398,91.85850477,92.41759537,93.13769748,94.20755815,95.38887704,95.14589655,95.09266479,95.78082879,96.6982223,97.89814678,98.28478044,"s2","_LLDB2_s2_2","2","2","4"
"1588","4","2","_LLDB3",97.55871059,95.94481789,94.43402605,93.21630445,92.165225,91.26766954,90.61406802,90.03717738,89.65211786,89.3251204,89.13281957,89.02809346,88.99176955,89.06615512,89.17692354,89.42616892,89.74546053,90.19940612,90.83101,91.57985716,92.62951195,93.77838852,95.29358417,96.9358314,98.7826139,99.39071764,99.31230882,100.2868036,101.4958138,103.3284921,"s2","_LLDB3_s2_2","2","2","4"
"1589","4","2","_LLDB4",99.07549976,98.04078692,97.0441778,96.2607739,95.52114766,94.88210912,94.28369322,93.73396208,93.22776838,92.74982385,92.34391524,91.9609917,91.70148226,91.4601719,91.30993837,91.17601837,91.10238554,91.0592357,91.06921198,91.17096231,91.35872276,91.76963538,92.29154022,93.12153944,94.01942014,93.85212587,93.76119219,94.44313651,95.26649863,96.46397233,"s2","_LLDB4_s2_2","2","2","4"
