"Syllable1","Syllable2","time","f0_norm_ct","speaker","pitch_con","syl","tone","prev"
"1","1",12,-30.0715060923089,"s2","_HHAA4_s2_1","1","1","none"
"1","1",13,-16.4736216302629,"s2","_HHAA4_s2_1","1","1","none"
"1","1",14,-3.66575985754798,"s2","_HHAA4_s2_1","1","1","none"
"1","1",15,8.82014578369194,"s2","_HHAA4_s2_1","1","1","none"
"1","1",16,20.2025543044801,"s2","_HHAA4_s2_1","1","1","none"
"1","1",17,31.7211801394792,"s2","_HHAA4_s2_1","1","1","none"
"1","1",18,43.6775768560512,"s2","_HHAA4_s2_1","1","1","none"
"1","1",19,55.612120191078,"s2","_HHAA4_s2_1","1","1","none"
"1","1",20,67.5151097938822,"s2","_HHAA4_s2_1","1","1","none"
"1","1",21,78.5338237031594,"s2","_HHAA4_s2_1","1","1","none"
"1","1",22,89.1898617804559,"s2","_HHAA4_s2_1","1","1","none"
"1","1",23,98.1435827356609,"s2","_HHAA4_s2_1","1","1","none"
"1","1",24,106.195656027704,"s2","_HHAA4_s2_1","1","1","none"
"1","1",25,112.283654688715,"s2","_HHAA4_s2_1","1","1","none"
"1","1",26,116.880720296638,"s2","_HHAA4_s2_1","1","1","none"
"1","1",27,120.317990813619,"s2","_HHAA4_s2_1","1","1","none"
"1","1",28,122.657017656113,"s2","_HHAA4_s2_1","1","1","none"
"1","1",29,124.734437079188,"s2","_HHAA4_s2_1","1","1","none"
"1","1",30,126.654774093591,"s2","_HHAA4_s2_1","1","1","none"
"1","1",1,14.0911430039637,"s3","_HHAA4_s3_1","1","1","none"
"1","1",2,10.9057729903132,"s3","_HHAA4_s3_1","1","1","none"
"1","1",3,9.0194596079059,"s3","_HHAA4_s3_1","1","1","none"
"1","1",4,8.76302832374245,"s3","_HHAA4_s3_1","1","1","none"
"1","1",5,8.73516700859091,"s3","_HHAA4_s3_1","1","1","none"
"1","1",6,9.0935929791433,"s3","_HHAA4_s3_1","1","1","none"
"1","1",7,10.1674958491556,"s3","_HHAA4_s3_1","1","1","none"
"1","1",8,12.2593448862051,"s3","_HHAA4_s3_1","1","1","none"
"1","1",9,14.4859317792352,"s3","_HHAA4_s3_1","1","1","none"
"1","1",10,16.1713969195309,"s3","_HHAA4_s3_1","1","1","none"
"1","1",11,16.7620763205684,"s3","_HHAA4_s3_1","1","1","none"
"1","1",12,16.5758409244966,"s3","_HHAA4_s3_1","1","1","none"
"1","1",13,14.5470283136854,"s3","_HHAA4_s3_1","1","1","none"
"1","1",14,11.7964407983579,"s3","_HHAA4_s3_1","1","1","none"
"1","1",15,8.46374496830845,"s3","_HHAA4_s3_1","1","1","none"
"1","1",16,4.76849465303826,"s3","_HHAA4_s3_1","1","1","none"
"1","1",17,1.03066463792425,"s3","_HHAA4_s3_1","1","1","none"
"1","1",18,-2.75856069097085,"s3","_HHAA4_s3_1","1","1","none"
"1","1",19,-5.9562833942025,"s3","_HHAA4_s3_1","1","1","none"
"1","1",20,-8.93799251959922,"s3","_HHAA4_s3_1","1","1","none"
"1","1",21,-11.6307684466549,"s3","_HHAA4_s3_1","1","1","none"
"1","1",22,-13.9486858577411,"s3","_HHAA4_s3_1","1","1","none"
"1","1",23,-15.9953235673443,"s3","_HHAA4_s3_1","1","1","none"
"1","1",24,-17.461900515942,"s3","_HHAA4_s3_1","1","1","none"
"1","1",25,-18.4767432741496,"s3","_HHAA4_s3_1","1","1","none"
"1","1",26,-19.1928932439364,"s3","_HHAA4_s3_1","1","1","none"
"1","1",27,-19.3291648420691,"s3","_HHAA4_s3_1","1","1","none"
"1","1",28,-18.9848137914807,"s3","_HHAA4_s3_1","1","1","none"
"1","1",29,-18.2546652935589,"s3","_HHAA4_s3_1","1","1","none"
