"time","f0_norm","Syllable1","Syllable2","Normtime","speaker","pitch_con"
15,8.30311681177432,"1","1","_HHAA2","s3","_HHAA2_s3_1"
16,8.85301978009329,"1","1","_HHAA2","s3","_HHAA2_s3_1"
17,9.16032195383218,"1","1","_HHAA2","s3","_HHAA2_s3_1"
18,9.22135293117503,"1","1","_HHAA2","s3","_HHAA2_s3_1"
19,9.1738952030837,"1","1","_HHAA2","s3","_HHAA2_s3_1"
20,8.92079722249605,"1","1","_HHAA2","s3","_HHAA2_s3_1"
21,8.52758512988294,"1","1","_HHAA2","s3","_HHAA2_s3_1"
22,8.01003382147428,"1","1","_HHAA2","s3","_HHAA2_s3_1"
23,7.1777441548038,"1","1","_HHAA2","s3","_HHAA2_s3_1"
24,6.24258115868997,"1","1","_HHAA2","s3","_HHAA2_s3_1"
25,5.13020898447326,"1","1","_HHAA2","s3","_HHAA2_s3_1"
26,3.96271049168331,"1","1","_HHAA2","s3","_HHAA2_s3_1"
27,2.79958276542175,"1","1","_HHAA2","s3","_HHAA2_s3_1"
28,2.42498106418589,"1","1","_HHAA2","s3","_HHAA2_s3_1"
29,2.53478718346378,"1","1","_HHAA2","s3","_HHAA2_s3_1"
30,3.3202135774975,"1","1","_HHAA2","s3","_HHAA2_s3_1"
1,-3.26959394370783,"1","1","_HHAA2","s3","_HHAA2_s3_2"
2,-0.531195405604194,"1","1","_HHAA2","s3","_HHAA2_s3_2"
3,2.13371893826275,"1","1","_HHAA2","s3","_HHAA2_s3_2"
4,4.54131694832586,"1","1","_HHAA2","s3","_HHAA2_s3_2"
5,6.67242630966302,"1","1","_HHAA2","s3","_HHAA2_s3_2"
6,8.43710265986624,"1","1","_HHAA2","s3","_HHAA2_s3_2"
7,9.73698902182127,"1","1","_HHAA2","s3","_HHAA2_s3_2"
8,10.7788198190722,"1","1","_HHAA2","s3","_HHAA2_s3_2"
9,11.1883909588764,"1","1","_HHAA2","s3","_HHAA2_s3_2"
10,11.4745129886487,"1","1","_HHAA2","s3","_HHAA2_s3_2"
11,11.5255093875733,"1","1","_HHAA2","s3","_HHAA2_s3_2"
12,11.4777107995387,"1","1","_HHAA2","s3","_HHAA2_s3_2"
13,11.1828888103391,"1","1","_HHAA2","s3","_HHAA2_s3_2"
14,10.6735423045868,"1","1","_HHAA2","s3","_HHAA2_s3_2"
15,9.94948188523767,"1","1","_HHAA2","s3","_HHAA2_s3_2"
16,8.64061183680838,"1","1","_HHAA2","s3","_HHAA2_s3_2"
17,7.09671515643822,"1","1","_HHAA2","s3","_HHAA2_s3_2"
18,4.75513636146047,"1","1","_HHAA2","s3","_HHAA2_s3_2"
19,2.26202407622623,"1","1","_HHAA2","s3","_HHAA2_s3_2"
20,-0.757586183663307,"1","1","_HHAA2","s3","_HHAA2_s3_2"
21,-3.91371969480269,"1","1","_HHAA2","s3","_HHAA2_s3_2"
22,-7.31232182871076,"1","1","_HHAA2","s3","_HHAA2_s3_2"
23,-10.4649046830118,"1","1","_HHAA2","s3","_HHAA2_s3_2"
24,-13.433385401313,"1","1","_HHAA2","s3","_HHAA2_s3_2"
25,-14.4169031822205,"1","1","_HHAA2","s3","_HHAA2_s3_2"
26,-14.8583118278177,"1","1","_HHAA2","s3","_HHAA2_s3_2"
27,-16.1385597473279,"1","1","_HHAA2","s3","_HHAA2_s3_2"
28,-17.5445319362336,"1","1","_HHAA2","s3","_HHAA2_s3_2"
29,-19.409607709882,"1","1","_HHAA2","s3","_HHAA2_s3_2"
30,-20.4762767184493,"1","1","_HHAA2","s3","_HHAA2_s3_2"
